programa,n,hilos,funcion,a,b,rep,tiempo,area,error
paralelo,100000000,16,3,0,1,3,0.056000,0.459697689924490,4.207370063458171e-09
secuencial,500000000,1,3,0,1,3,1.399000,0.459697693290446,8.414139940349230e-10
paralelo,500000000,1,3,0,1,3,1.370000,0.459697693290446,8.414139940349230e-10
paralelo,500000000,2,3,0,1,3,0.916000,0.459697693290424,8.414359209396594e-10
paralelo,500000000,4,3,0,1,3,0.664000,0.459697693290402,8.414584029559080e-10
paralelo,500000000,8,3,0,1,3,0.396000,0.459697693290400,8.414604013573523e-10
paralelo,500000000,16,3,0,1,3,0.284000,0.459697693290394,8.414667296285927e-10
secuencial,1000000000,1,3,0,1,3,2.773000,0.459697693711160,4.206998638345283e-10
paralelo,1000000000,1,3,0,1,3,2.690000,0.459697693711160,4.206998638345283e-10
paralelo,1000000000,2,3,0,1,3,1.783000,0.459697693711131,4.207295623004370e-10
paralelo,1000000000,4,3,0,1,3,1.328000,0.459697693711127,4.207335591033257e-10
paralelo,1000000000,8,3,0,1,3,0.815000,0.459697693711121,4.207392212407512e-10
paralelo,1000000000,16,3,0,1,3,0.568000,0.459697693711119,4.207416637314054e-10
secuencial,100000000,1,1,0,1,4,0.068000,0.333333328333363,4.999970493191341e-09
paralelo,100000000,1,1,0,1,4,0.060000,0.333333328333363,4.999970493191341e-09
paralelo,100000000,2,1,0,1,4,0.031000,0.333333328333340,4.999993585830254e-09
paralelo,100000000,4,1,0,1,4,0.020000,0.333333328333350,4.999983038711520e-09
paralelo,100000000,8,1,0,1,4,0.016000,0.333333328333329,5.000004188460139e-09
paralelo,100000000,16,1,0,1,4,0.007000,0.333333328333351,4.999982317066554e-09
secuencial,500000000,1,1,0,1,4,0.316000,0.333333332333356,9.999771566349125e-10
paralelo,500000000,1,1,0,1,4,0.276000,0.333333332333356,9.999771566349125e-10
paralelo,500000000,2,1,0,1,4,0.145000,0.333333332333382,9.999509553715313e-10
paralelo,500000000,4,1,0,1,4,0.083000,0.333333332333287,1.000045990462439e-09
paralelo,500000000,8,1,0,1,4,0.066000,0.333333332333319,1.000014071550481e-09
paralelo,500000000,16,1,0,1,4,0.044000,0.333333332333436,9.998971650659882e-10
secuencial,1000000000,1,1,0,1,4,0.625000,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,1,1,0,1,4,0.560000,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,2,1,0,1,4,0.291000,0.333333332833332,5.000013736378150e-10
paralelo,1000000000,4,1,0,1,4,0.204000,0.333333332833382,4.999516911574631e-10
paralelo,1000000000,8,1,0,1,4,0.117000,0.333333332833345,4.999881619838220e-10
paralelo,1000000000,16,1,0,1,4,0.080000,0.333333332833357,4.999765046420634e-10
secuencial,100000000,1,3,0,1,4,0.281000,0.459697689924563,4.207296844249697e-09
paralelo,100000000,1,3,0,1,4,0.270000,0.459697689924563,4.207296844249697e-09
paralelo,100000000,2,3,0,1,4,0.187000,0.459697689924628,4.207232451314269e-09
paralelo,100000000,4,3,0,1,4,0.139000,0.459697689924516,4.207343806683639e-09
paralelo,100000000,8,3,0,1,4,0.102000,0.459697689924481,4.207379666887334e-09
paralelo,100000000,16,3,0,1,4,0.056000,0.459697689924490,4.207370063458171e-09
secuencial,500000000,1,3,0,1,4,1.426000,0.459697693290446,8.414139940349230e-10
paralelo,500000000,1,3,0,1,4,1.388000,0.459697693290446,8.414139940349230e-10
paralelo,500000000,2,3,0,1,4,0.932000,0.459697693290424,8.414359209396594e-10
paralelo,500000000,4,3,0,1,4,0.717000,0.459697693290402,8.414584584670592e-10
paralelo,500000000,8,3,0,1,4,0.442000,0.459697693290400,8.414604013573523e-10
paralelo,500000000,16,3,0,1,4,0.276000,0.459697693290394,8.414666741174415e-10
secuencial,1000000000,1,3,0,1,4,2.824000,0.459697693711160,4.206998638345283e-10
paralelo,1000000000,1,3,0,1,4,2.757000,0.459697693711160,4.206998638345283e-10
paralelo,1000000000,2,3,0,1,4,1.828000,0.459697693711131,4.207295623004370e-10
