programa,n,hilos,funcion,a,b,rep,tiempo,area,error
paralelo,100000000,8,3,0,1,5,0.054000,0.459697689924481,4.207379666887334e-09
paralelo,100000000,16,3,0,1,5,0.037000,0.459697689924490,4.207370063458171e-09
secuencial,500000000,1,3,0,1,5,1.343000,0.459697693290446,8.414139940349230e-10
paralelo,500000000,1,3,0,1,5,0.955000,0.459697693290446,8.414139940349230e-10
paralelo,500000000,2,3,0,1,5,0.616000,0.459697693290424,8.414359209396594e-10
paralelo,500000000,4,3,0,1,5,0.433000,0.459697693290402,8.414584584670592e-10
paralelo,500000000,8,3,0,1,5,0.260000,0.459697693290400,8.414604013573523e-10
paralelo,500000000,16,3,0,1,5,0.170000,0.459697693290394,8.414667296285927e-10
secuencial,1000000000,1,3,0,1,5,2.564000,0.459697693711160,4.206998638345283e-10
paralelo,1000000000,1,3,0,1,5,1.951000,0.459697693711160,4.206998638345283e-10
paralelo,1000000000,2,3,0,1,5,1.243000,0.459697693711131,4.207295623004370e-10
paralelo,1000000000,4,3,0,1,5,0.847000,0.459697693711127,4.207335591033257e-10
paralelo,1000000000,8,3,0,1,5,0.553000,0.459697693711121,4.207392212407512e-10
paralelo,1000000000,16,3,0,1,5,0.362000,0.459697693711119,4.207416637314054e-10
