programa,n,hilos,funcion,a,b,rep,tiempo,area,error
paralelo,500000000,2,3,0,1,3,2.153245,0.459697693290424,8.414359209396594e-10
paralelo,500000000,4,3,0,1,3,1.109377,0.459697693290402,8.414584584670592e-10
paralelo,500000000,8,3,0,1,3,0.711673,0.459697693290400,8.414604013573523e-10
paralelo,500000000,16,3,0,1,3,0.552600,0.459697693290394,8.414667296285927e-10
secuencial,1000000000,1,3,0,1,3,8.230169,0.459697693711160,4.206999193456795e-10
paralelo,1000000000,1,3,0,1,3,8.383132,0.459697693711160,4.206999193456795e-10
paralelo,1000000000,2,3,0,1,3,4.355444,0.459697693711131,4.207295623004370e-10
paralelo,1000000000,4,3,0,1,3,2.302946,0.459697693711127,4.207335591033257e-10
paralelo,1000000000,8,3,0,1,3,1.366981,0.459697693711121,4.207392212407512e-10
paralelo,1000000000,16,3,0,1,3,1.209753,0.459697693711119,4.207416082202542e-10
secuencial,100000000,1,1,0,1,4,0.109827,0.333333328333363,4.999970493191341e-09
paralelo,100000000,1,1,0,1,4,0.080979,0.333333328333363,4.999970493191341e-09
paralelo,100000000,2,1,0,1,4,0.041517,0.333333328333340,4.999993585830254e-09
paralelo,100000000,4,1,0,1,4,0.022837,0.333333328333350,4.999983038711520e-09
paralelo,100000000,8,1,0,1,4,0.017021,0.333333328333329,5.000004188460139e-09
paralelo,100000000,16,1,0,1,4,0.011099,0.333333328333351,4.999982317066554e-09
secuencial,500000000,1,1,0,1,4,0.506323,0.333333332333356,9.999771566349125e-10
paralelo,500000000,1,1,0,1,4,0.405731,0.333333332333356,9.999771566349125e-10
paralelo,500000000,2,1,0,1,4,0.205201,0.333333332333382,9.999509553715313e-10
paralelo,500000000,4,1,0,1,4,0.101558,0.333333332333287,1.000045990462439e-09
paralelo,500000000,8,1,0,1,4,0.075371,0.333333332333319,1.000014071550481e-09
paralelo,500000000,16,1,0,1,4,0.044406,0.333333332333436,9.998971650659882e-10
secuencial,1000000000,1,1,0,1,4,1.052456,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,1,1,0,1,4,0.772240,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,2,1,0,1,4,0.394321,0.333333332833332,5.000013736378150e-10
paralelo,1000000000,4,1,0,1,4,0.201942,0.333333332833382,4.999518021797655e-10
paralelo,1000000000,8,1,0,1,4,0.113393,0.333333332833345,4.999882174949732e-10
paralelo,1000000000,16,1,0,1,4,0.088670,0.333333332833357,4.999764491309122e-10
secuencial,100000000,1,3,0,1,4,0.815706,0.459697689924563,4.207296844249697e-09
paralelo,100000000,1,3,0,1,4,0.828011,0.459697689924563,4.207296844249697e-09
paralelo,100000000,2,3,0,1,4,0.414061,0.459697689924628,4.207232451314269e-09
paralelo,100000000,4,3,0,1,4,0.216872,0.459697689924516,4.207343806683639e-09
paralelo,100000000,8,3,0,1,4,0.126957,0.459697689924481,4.207379722398485e-09
paralelo,100000000,16,3,0,1,4,0.116768,0.459697689924490,4.207370118969322e-09
secuencial,500000000,1,3,0,1,4,4.249277,0.459697693290446,8.414139940349230e-10
paralelo,500000000,1,3,0,1,4,3.942741,0.459697693290446,8.414139940349230e-10
paralelo,500000000,2,3,0,1,4,2.183773,0.459697693290424,8.414359209396594e-10
paralelo,500000000,4,3,0,1,4,1.145228,0.459697693290402,8.414584029559080e-10
paralelo,500000000,8,3,0,1,4,0.631675,0.459697693290400,8.414604013573523e-10
paralelo,500000000,16,3,0,1,4,0.581107,0.459697693290394,8.414667296285927e-10
secuencial,1000000000,1,3,0,1,4,8.617520,0.459697693711160,4.206999193456795e-10
paralelo,1000000000,1,3,0,1,4,8.066387,0.459697693711160,4.206999193456795e-10
paralelo,1000000000,2,3,0,1,4,4.532239,0.459697693711131,4.207295623004370e-10
paralelo,1000000000,4,3,0,1,4,2.537848,0.459697693711127,4.207335591033257e-10
paralelo,1000000000,8,3,0,1,4,1.573359,0.459697693711121,4.207392212407512e-10
paralelo,1000000000,16,3,0,1,4,1.248902,0.459697693711119,4.207417192425567e-10
secuencial,100000000,1,1,0,1,5,0.110651,0.333333328333363,4.999970493191341e-09
paralelo,100000000,1,1,0,1,5,0.081827,0.333333328333363,4.999970493191341e-09
paralelo,100000000,2,1,0,1,5,0.040964,0.333333328333340,4.999993585830254e-09
paralelo,100000000,4,1,0,1,5,0.022544,0.333333328333350,4.999983038711520e-09
paralelo,100000000,8,1,0,1,5,0.017378,0.333333328333329,5.000004243971290e-09
paralelo,100000000,16,1,0,1,5,0.018893,0.333333328333351,4.999982317066554e-09
secuencial,500000000,1,1,0,1,5,0.547334,0.333333332333356,9.999771566349125e-10
paralelo,500000000,1,1,0,1,5,0.397021,0.333333332333356,9.999771566349125e-10
